CVE,total_rows,fn_count,fp_count,error_count,fn_ratio,fp_ratio,error_ratio
CVE-2020-5245,233,16,0,16,0.06866952789699571,0.0,0.06866952789699571
CVE-2020-5398,320,0,0,0,0.0,0.0,0.0
CVE-2020-6858,22,0,0,0,0.0,0.0,0.0
CVE-2020-8929,34,9,0,9,0.2647058823529412,0.0,0.2647058823529412
CVE-2020-9546,216,34,0,34,0.1574074074074074,0.0,0.1574074074074074
CVE-2020-9547,216,0,0,0,0.0,0.0,0.0
CVE-2020-9548,216,0,0,0,0.0,0.0,0.0
CVE-2021-21234,15,0,0,0,0.0,0.0,0.0
CVE-2021-21344,41,21,0,21,0.5121951219512195,0.0,0.5121951219512195
CVE-2021-21345,41,21,0,21,0.5121951219512195,0.0,0.5121951219512195
CVE-2021-21346,41,24,0,24,0.5853658536585366,0.0,0.5853658536585366
CVE-2021-21349,41,21,0,21,0.5121951219512195,0.0,0.5121951219512195
CVE-2021-21351,41,6,0,6,0.14634146341463414,0.0,0.14634146341463414
CVE-2021-23792,37,0,0,0,0.0,0.0,0.0
CVE-2021-23899,6,0,2,2,0.0,0.3333333333333333,0.3333333333333333
CVE-2021-23900,12,0,0,0,0.0,0.0,0.0
CVE-2021-27568,70,1,0,1,0.014285714285714285,0.0,0.014285714285714285
CVE-2021-27807,79,0,29,29,0.0,0.3670886075949367,0.3670886075949367
CVE-2021-29061,4,0,0,0,0.0,0.0,0.0
CVE-2021-29425,33,0,0,0,0.0,0.0,0.0
CVE-2021-29505,41,6,0,6,0.14634146341463414,0.0,0.14634146341463414
CVE-2021-30468,103,0,0,0,0.0,0.0,0.0
CVE-2021-31684,35,0,0,0,0.0,0.0,0.0
CVE-2021-33609,274,6,0,6,0.021897810218978103,0.0,0.021897810218978103
CVE-2021-33813,30,0,0,0,0.0,0.0,0.0
CVE-2021-35043,36,20,13,33,0.5555555555555556,0.3611111111111111,0.9166666666666666
CVE-2021-35516,35,16,0,16,0.45714285714285713,0.0,0.45714285714285713
CVE-2021-3878,39,0,0,0,0.0,0.0,0.0
CVE-2021-39141,41,19,0,19,0.4634146341463415,0.0,0.4634146341463415
CVE-2021-39144,41,21,0,21,0.5121951219512195,0.0,0.5121951219512195
CVE-2021-39150,41,19,0,19,0.4634146341463415,0.0,0.4634146341463415
CVE-2021-40111,23,0,0,0,0.0,0.0,0.0
CVE-2021-40660,54,0,0,0,0.0,0.0,0.0
CVE-2021-42575,39,2,0,2,0.05128205128205128,0.0,0.05128205128205128
CVE-2021-43090,14,0,5,5,0.0,0.35714285714285715,0.35714285714285715
CVE-2021-43113,47,0,21,21,0.0,0.44680851063829785,0.44680851063829785
CVE-2021-43795,267,0,0,0,0.0,0.0,0.0
CVE-2021-43797,484,2,0,2,0.004132231404958678,0.0,0.004132231404958678
CVE-2021-43859,41,7,3,10,0.17073170731707318,0.07317073170731707,0.24390243902439024
CVE-2021-44228,73,0,12,12,0.0,0.1643835616438356,0.1643835616438356
CVE-2021-45046,73,2,0,2,0.0273972602739726,0.0,0.0273972602739726
CVE-2022-0272,90,0,0,0,0.0,0.0,0.0
CVE-2022-0839,141,0,0,0,0.0,0.0,0.0
CVE-2022-1471,36,0,0,0,0.0,0.0,0.0
CVE-2022-1848,132,0,0,0,0.0,0.0,0.0
CVE-2022-21126,166,2,0,2,0.012048192771084338,0.0,0.012048192771084338
CVE-2022-21724,197,2,0,2,0.01015228426395939,0.0,0.01015228426395939
CVE-2022-22885,208,0,15,15,0.0,0.07211538461538461,0.07211538461538461
CVE-2022-22968,322,19,0,19,0.059006211180124224,0.0,0.059006211180124224
CVE-2022-22976,249,0,0,0,0.0,0.0,0.0
CVE-2022-22978,258,8,1,9,0.031007751937984496,0.003875968992248062,0.03488372093023256
CVE-2022-22980,280,0,0,0,0.0,0.0,0.0
CVE-2022-23082,16,4,0,4,0.25,0.0,0.25
CVE-2022-23457,30,10,0,10,0.3333333333333333,0.0,0.3333333333333333
CVE-2022-23596,48,6,0,6,0.125,0.0,0.125
CVE-2022-24196,47,0,0,0,0.0,0.0,0.0
CVE-2022-24197,94,0,0,0,0.0,0.0,0.0
CVE-2022-24615,102,0,0,0,0.0,0.0,0.0
